,muncodigo,municipios_,latitud,longitud
0,73001,Ibagué,-75.2005,4.4377
1,73024,Alpujarra,-74.9327,3.3916
2,73026,Alvarado,-74.9522,4.5672
3,73030,Ambalema,-74.7638,4.7816
4,73043,Anzoátegui,-75.1947,4.6302
5,73055,Armero Guayabal,-74.8,5.0
6,73067,Ataco,-75.3822,3.4511
7,73124,Cajamarca,-75.4778,4.4366
8,73148,Carmen de Apicalá,-74.6286,4.1177
9,73152,Casabianca,-75.17,5.0201
10,73168,Chaparral,-75.5847,3.7236
11,73200,Coello,-74.8977,4.3583
12,73217,Coyaima,-75.1938,3.7675
13,73226,Cunday,-74.6925,3.9812
14,73236,Dolores,-74.835,3.538
15,73268,Espinal,-74.8819,4.1686
16,73270,Falan,-74.9516,5.0536
17,73275,Flandes,-74.8141,4.2844
18,73283,Fresno,-75.0369,5.1826
19,73319,Guamo,-74.983,4.028
20,73347,Herveo,-75.2235,5.0805
21,73349,Honda,-74.7566,5.1799
22,73352,Icononzo,-74.5327,4.1758
23,73408,Lérida,-74.913,4.86
24,73411,Líbano,-75.0511,4.8705
25,73443,San Sebastián de Mariquita,-74.9,5.25
26,73449,Melgar,-74.6427,4.2338
27,73461,Murillo,-75.2005,4.8316
28,73483,Natagaima,-75.1136,3.523
29,73504,Ortega,-75.2613,3.9338
30,73520,Palocabildo,-75.0236,5.1201
31,73547,Piedras,-74.8777,4.4833
32,73555,Planadas,-75.8444,3.0963
33,73563,Prado,-74.838,3.7388
34,73585,Purificación,-74.8425,3.8566
35,73616,Rioblanco,-75.8447,3.5291
36,73622,Roncesvalles,-75.6052,4.1108
37,73624,Rovira,-75.3402,4.2391
38,73671,Saldaña,-75.0155,3.9291
39,73675,San Antonio,-75.4999,3.915
40,73678,San Luis,-75.0955,4.1222
41,73686,Santa Isabel,-75.1575,4.7138
42,73770,Suárez,-74.8305,4.0475
43,73854,Valle de San Juan,-75.1472,4.188
44,73861,Venadillo,-74.9294,4.7183
45,73870,Villahermosa,-75.1369,4.933
46,73873,Villarrica,-74.6013,3.8363
